map#,Greedy(score sec/patient),Greedy(ptime sec),Integer Programming(score sec/patient),Integer Programming(ptime sec),Quantum annealing(score sec/patient),Quantum annealing(ptime sec)
0,596.8729174552712,0.002801179885864258,552.3482071709034,1.074510097503662,607.7124076058906,31.413710355758667
1,991.6473463075029,0.002821207046508789,924.4824363256157,1.1041007041931152,948.0671154652697,34.565988540649414
2,1541.4543741485406,0.0032379627227783203,1474.2099387155429,1.0689609050750732,1499.2760186739326,34.77274775505066
3,743.674051367962,0.0029163360595703125,689.8551875166604,1.0494234561920166,719.3145586269761,35.44525408744812
4,1000.4644057925487,0.0028688907623291016,856.2828743691471,1.051293134689331,909.2352992038954,33.55171513557434
5,836.4483012363326,0.0029077529907226562,630.2042040665658,1.1104586124420166,722.7493941892127,34.16370105743408
6,1169.307719857864,0.0029053688049316406,1050.5289009736073,1.0569095611572266,1107.9103714723014,34.85146188735962
7,786.0997946531697,0.0029764175415039062,703.1861440029163,1.1037187576293945,775.6949042938069,32.36301064491272
8,780.1466621686646,0.0029268264770507812,751.4018736429819,1.1170732975006104,790.4353042806874,36.05167269706726
9,726.7134941552771,0.0029211044311523438,547.6876055195914,1.115713357925415,584.902478510019,34.54309916496277
